,price,rooms,area,location1,market,households_qty_per_location,rooms_per_households_qty,market_per_households_qty
1470,740000.0,2,47.19,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1471,501000.0,2,42.0,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1472,669000.0,4,80.0,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1473,550000.0,2,39.64,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1474,719997.0,1,30.7,Śródmieście,secondary,804,0.12437810945273632,0.4092039800995025
1475,499000.0,2,45.0,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1476,1022726.0,4,83.83,Fabryczna,primary,1211,0.3303055326176713,0.4624277456647399
1477,460000.0,2,40.0,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
1478,950972.0,4,86.82,Stare Miasto,primary,1133,0.353045013239188,0.5710503089143866
1479,672996.0,2,39.45,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
1480,689000.0,2,43.0,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
1481,1202580.0,2,44.54,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1482,499900.0,2,45.0,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1483,829587.0,2,65.58,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1484,473600.0,1,32.0,Fabryczna,primary,1211,0.08257638315441783,0.4624277456647399
1485,499999.0,2,47.4,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1486,837000.0,3,80.0,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1487,386000.0,2,35.0,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
